date,close,close_pred,code,score,date_processed
14.05.2021,633.0,742.30365,ADIN,-1.0224737711663994,2025-01-05
30.06.2021,661.0,735.41034,ADIN,-1.0224737711663994,2025-01-04
27.07.2021,652.0,636.1011,ADIN,-1.0224737711663994,2025-01-04
21.09.2021,681.0,623.8455,ADIN,-1.0224737711663994,2025-01-04
27.09.2021,700.0,597.6901,ADIN,-1.0224737711663994,2025-01-04
22.10.2021,700.0,621.9594,ADIN,-1.0224737711663994,2025-01-04
27.10.2021,700.0,642.3121,ADIN,-1.0224737711663994,2025-01-04
17.11.2021,700.0,653.42145,ADIN,-1.0224737711663994,2025-01-04
13.01.2022,704.0,658.37604,ADIN,-1.0224737711663994,2025-01-04
17.01.2022,711.0,659.7305,ADIN,-1.0224737711663994,2025-01-04
21.02.2022,732.0,664.3826,ADIN,-1.0224737711663994,2025-01-04
24.02.2022,750.0,673.6055,ADIN,-1.0224737711663994,2025-01-04
07.03.2022,750.0,696.61273,ADIN,-1.0224737711663994,2025-01-04
16.03.2022,751.0,721.2266,ADIN,-1.0224737711663994,2025-01-04
18.03.2022,760.0,733.15826,ADIN,-1.0224737711663994,2025-01-04
12.05.2022,782.0,740.9696,ADIN,-1.0224737711663994,2025-01-04
31.05.2022,805.0,752.8072,ADIN,-1.0224737711663994,2025-01-04
22.07.2022,815.0,778.5006,ADIN,-1.0224737711663994,2025-01-04
23.11.2022,815.0,810.38,ADIN,-1.0224737711663994,2025-01-04
16.12.2022,816.0,834.0791,ADIN,-1.0224737711663994,2025-01-04
23.12.2022,840.0,845.6968,ADIN,-1.0224737711663994,2025-01-04
20.01.2023,840.0,853.5932,ADIN,-1.0224737711663994,2025-01-04
14.02.2023,722.0,878.4048,ADIN,-1.0224737711663994,2025-01-04
06.07.2023,850.0,880.3743,ADIN,-1.0224737711663994,2025-01-04
11.07.2023,865.0,788.74475,ADIN,-1.0224737711663994,2025-01-04
05.10.2023,1000.0,869.77545,ADIN,-1.0224737711663994,2025-01-04
09.11.2023,1000.0,904.1076,ADIN,-1.0224737711663994,2025-01-04
13.11.2023,1000.0,1068.7804,ADIN,-1.0224737711663994,2025-01-04
29.11.2023,1000.0,1124.7189,ADIN,-1.0224737711663994,2025-01-04
19.12.2023,1000.0,1168.4977,ADIN,-1.0224737711663994,2025-01-04
31.01.2024,1200.0,1179.1914,ADIN,-1.0224737711663994,2025-01-04
05.02.2024,1200.0,1199.4474,ADIN,-1.0224737711663994,2025-01-04
14.05.2024,1697.0,1413.3322,ADIN,-1.0224737711663994,2025-01-04
17.05.2024,1688.0,1526.2744,ADIN,-1.0224737711663994,2025-01-04
29.05.2024,1690.0,2164.6912,ADIN,-1.0224737711663994,2025-01-04
27.06.2024,1600.0,2381.9736,ADIN,-1.0224737711663994,2025-01-04
10.07.2024,1500.0,2565.1729,ADIN,-1.0224737711663994,2025-01-04
12.07.2024,1500.0,2490.8457,ADIN,-1.0224737711663994,2025-01-04
