date,close,close_pred,code,score,date_processed
14.08.2024,1649.0,2478.1895,ADIN,-2.344937518479016,2025-01-19
23.08.2024,1610.0,2493.3918,ADIN,-2.344937518479016,2025-01-19
26.08.2024,1600.0,2683.3274,ADIN,-2.344937518479016,2025-01-19
13.09.2024,1646.0,2699.4048,ADIN,-2.344937518479016,2025-01-19
17.09.2024,1646.0,2727.7134,ADIN,-2.344937518479016,2025-01-19
18.09.2024,1646.0,2780.9067,ADIN,-2.344937518479016,2025-01-19
19.09.2024,1700.0,2803.242,ADIN,-2.344937518479016,2025-01-19
20.09.2024,1770.0,2827.548,ADIN,-2.344937518479016,2025-01-19
23.09.2024,1800.0,2910.5217,ADIN,-2.344937518479016,2025-01-19
24.09.2024,1800.0,3036.4995,ADIN,-2.344937518479016,2025-01-19
02.10.2024,1800.0,3134.5242,ADIN,-2.344937518479016,2025-01-19
09.10.2024,1750.0,3182.869,ADIN,-2.344937518479016,2025-01-19
10.10.2024,1700.0,3201.0898,ADIN,-2.344937518479016,2025-01-19
18.10.2024,1700.0,3138.4365,ADIN,-2.344937518479016,2025-01-19
21.10.2024,1650.0,3052.6636,ADIN,-2.344937518479016,2025-01-19
15.11.2024,1650.0,3009.3696,ADIN,-2.344937518479016,2025-01-19
18.11.2024,1650.0,2920.3613,ADIN,-2.344937518479016,2025-01-19
21.11.2024,1650.0,2891.6675,ADIN,-2.344937518479016,2025-01-19
17.01.2025,1650.0,2868.4502,ADIN,-2.344937518479016,2025-01-19
24.01.2022,17900.0,19276.057,ALK,0.974887408167993,2025-01-19
25.01.2022,17150.0,19421.387,ALK,0.974887408167993,2025-01-19
26.01.2022,17990.0,19450.242,ALK,0.974887408167993,2025-01-19
27.01.2022,18699.0,19409.756,ALK,0.974887408167993,2025-01-19
28.01.2022,18748.0,19177.27,ALK,0.974887408167993,2025-01-19
31.01.2022,18550.0,18429.525,ALK,0.974887408167993,2025-01-19
01.02.2022,18650.0,17962.87,ALK,0.974887408167993,2025-01-19
02.02.2022,18551.0,18196.799,ALK,0.974887408167993,2025-01-19
03.02.2022,18554.0,18558.979,ALK,0.974887408167993,2025-01-19
04.02.2022,18700.0,18725.299,ALK,0.974887408167993,2025-01-19
07.02.2022,18700.0,18722.037,ALK,0.974887408167993,2025-01-19
08.02.2022,18700.0,18750.604,ALK,0.974887408167993,2025-01-19
09.02.2022,18705.0,18709.41,ALK,0.974887408167993,2025-01-19
10.02.2022,18725.0,18728.096,ALK,0.974887408167993,2025-01-19
11.02.2022,18800.0,18794.873,ALK,0.974887408167993,2025-01-19
14.02.2022,18650.0,18819.174,ALK,0.974887408167993,2025-01-19
15.02.2022,18670.0,18838.08,ALK,0.974887408167993,2025-01-19
16.02.2022,18800.0,18848.92,ALK,0.974887408167993,2025-01-19
17.02.2022,18799.0,18869.502,ALK,0.974887408167993,2025-01-19
18.02.2022,18699.0,18894.627,ALK,0.974887408167993,2025-01-19
21.02.2022,18600.0,18840.342,ALK,0.974887408167993,2025-01-19
22.02.2022,18250.0,18853.17,ALK,0.974887408167993,2025-01-19
23.02.2022,18189.0,18904.742,ALK,0.974887408167993,2025-01-19
24.02.2022,16385.0,18909.396,ALK,0.974887408167993,2025-01-19
25.02.2022,17700.0,18852.56,ALK,0.974887408167993,2025-01-19
28.02.2022,17500.0,18738.416,ALK,0.974887408167993,2025-01-19
01.03.2022,17400.0,18494.627,ALK,0.974887408167993,2025-01-19
02.03.2022,17450.0,18189.084,ALK,0.974887408167993,2025-01-19
03.03.2022,17500.0,17407.95,ALK,0.974887408167993,2025-01-19
04.03.2022,17600.0,17719.72,ALK,0.974887408167993,2025-01-19
07.03.2022,17550.0,17596.621,ALK,0.974887408167993,2025-01-19
08.03.2022,17300.0,17616.158,ALK,0.974887408167993,2025-01-19
09.03.2022,17400.0,17608.436,ALK,0.974887408167993,2025-01-19
10.03.2022,17300.0,17633.365,ALK,0.974887408167993,2025-01-19
11.03.2022,17500.0,17677.309,ALK,0.974887408167993,2025-01-19
14.03.2022,17850.0,17640.818,ALK,0.974887408167993,2025-01-19
15.03.2022,17700.0,17532.322,ALK,0.974887408167993,2025-01-19
16.03.2022,17700.0,17530.81,ALK,0.974887408167993,2025-01-19
17.03.2022,18000.0,17501.023,ALK,0.974887408167993,2025-01-19
18.03.2022,18200.0,17629.082,ALK,0.974887408167993,2025-01-19
21.03.2022,18300.0,17801.11,ALK,0.974887408167993,2025-01-19
22.03.2022,18500.0,17808.838,ALK,0.974887408167993,2025-01-19
23.03.2022,18300.0,17872.139,ALK,0.974887408167993,2025-01-19
24.03.2022,18000.0,18043.71,ALK,0.974887408167993,2025-01-19
25.03.2022,18110.0,18211.283,ALK,0.974887408167993,2025-01-19
28.03.2022,18000.0,18352.057,ALK,0.974887408167993,2025-01-19
29.03.2022,18000.0,18471.0,ALK,0.974887408167993,2025-01-19
30.03.2022,17950.0,18391.822,ALK,0.974887408167993,2025-01-19
31.03.2022,18000.0,18257.494,ALK,0.974887408167993,2025-01-19
01.04.2022,17900.0,18240.164,ALK,0.974887408167993,2025-01-19
04.04.2022,18000.0,18169.846,ALK,0.974887408167993,2025-01-19
05.04.2022,18000.0,18152.717,ALK,0.974887408167993,2025-01-19
06.04.2022,18250.0,18118.186,ALK,0.974887408167993,2025-01-19
07.04.2022,18240.0,18120.186,ALK,0.974887408167993,2025-01-19
08.04.2022,18249.0,18083.387,ALK,0.974887408167993,2025-01-19
11.04.2022,18100.0,18124.803,ALK,0.974887408167993,2025-01-19
12.04.2022,18101.0,18160.096,ALK,0.974887408167993,2025-01-19
13.04.2022,18200.0,18291.307,ALK,0.974887408167993,2025-01-19
14.04.2022,18250.0,18325.21,ALK,0.974887408167993,2025-01-19
15.04.2022,18250.0,18339.404,ALK,0.974887408167993,2025-01-19
18.04.2022,18250.0,18275.613,ALK,0.974887408167993,2025-01-19
19.04.2022,17802.0,18271.996,ALK,0.974887408167993,2025-01-19
21.04.2022,17943.0,18313.686,ALK,0.974887408167993,2025-01-19
26.04.2022,17943.0,18351.29,ALK,0.974887408167993,2025-01-19
27.04.2022,17800.0,18360.67,ALK,0.974887408167993,2025-01-19
28.04.2022,17850.0,18313.982,ALK,0.974887408167993,2025-01-19
29.04.2022,17850.0,18111.61,ALK,0.974887408167993,2025-01-19
03.05.2022,17901.0,18108.996,ALK,0.974887408167993,2025-01-19
04.05.2022,17803.0,18062.62,ALK,0.974887408167993,2025-01-19
05.05.2022,17850.0,18002.225,ALK,0.974887408167993,2025-01-19
06.05.2022,17850.0,18000.785,ALK,0.974887408167993,2025-01-19
09.05.2022,17800.0,17993.717,ALK,0.974887408167993,2025-01-19
10.05.2022,17801.0,18007.115,ALK,0.974887408167993,2025-01-19
11.05.2022,17650.0,17969.998,ALK,0.974887408167993,2025-01-19
12.05.2022,17012.0,17980.809,ALK,0.974887408167993,2025-01-19
13.05.2022,17600.0,17970.135,ALK,0.974887408167993,2025-01-19
16.05.2022,17450.0,17943.54,ALK,0.974887408167993,2025-01-19
17.05.2022,17500.0,17904.535,ALK,0.974887408167993,2025-01-19
18.05.2022,17700.0,17754.3,ALK,0.974887408167993,2025-01-19
19.05.2022,17400.0,17487.541,ALK,0.974887408167993,2025-01-19
20.05.2022,17400.0,17638.717,ALK,0.974887408167993,2025-01-19
23.05.2022,17100.0,17588.1,ALK,0.974887408167993,2025-01-19
25.05.2022,16950.0,17654.139,ALK,0.974887408167993,2025-01-19
26.05.2022,16800.0,17706.217,ALK,0.974887408167993,2025-01-19
27.05.2022,16800.0,17586.701,ALK,0.974887408167993,2025-01-19
30.05.2022,17100.0,17520.373,ALK,0.974887408167993,2025-01-19
31.05.2022,17500.0,17322.238,ALK,0.974887408167993,2025-01-19
01.06.2022,17700.0,17178.795,ALK,0.974887408167993,2025-01-19
02.06.2022,17920.0,17051.934,ALK,0.974887408167993,2025-01-19
03.06.2022,17849.0,17047.154,ALK,0.974887408167993,2025-01-19
06.06.2022,17601.0,17219.086,ALK,0.974887408167993,2025-01-19
07.06.2022,17600.0,17478.701,ALK,0.974887408167993,2025-01-19
08.06.2022,17500.0,17692.553,ALK,0.974887408167993,2025-01-19
09.06.2022,17400.0,17868.736,ALK,0.974887408167993,2025-01-19
13.06.2022,17000.0,17874.451,ALK,0.974887408167993,2025-01-19
14.06.2022,16650.0,17779.525,ALK,0.974887408167993,2025-01-19
15.06.2022,16850.0,17732.156,ALK,0.974887408167993,2025-01-19
16.06.2022,16501.0,17640.795,ALK,0.974887408167993,2025-01-19
17.06.2022,16750.0,17516.467,ALK,0.974887408167993,2025-01-19
20.06.2022,16703.0,17251.305,ALK,0.974887408167993,2025-01-19
21.06.2022,16750.0,17022.152,ALK,0.974887408167993,2025-01-19
22.06.2022,16800.0,16973.81,ALK,0.974887408167993,2025-01-19
23.06.2022,16800.0,16811.588,ALK,0.974887408167993,2025-01-19
24.06.2022,16800.0,16874.98,ALK,0.974887408167993,2025-01-19
27.06.2022,16710.0,16850.24,ALK,0.974887408167993,2025-01-19
28.06.2022,16750.0,16885.006,ALK,0.974887408167993,2025-01-19
29.06.2022,16800.0,16907.85,ALK,0.974887408167993,2025-01-19
30.06.2022,16751.0,16915.902,ALK,0.974887408167993,2025-01-19
01.07.2022,16751.0,16910.36,ALK,0.974887408167993,2025-01-19
04.07.2022,16800.0,16873.77,ALK,0.974887408167993,2025-01-19
05.07.2022,16801.0,16884.97,ALK,0.974887408167993,2025-01-19
06.07.2022,16802.0,16899.35,ALK,0.974887408167993,2025-01-19
07.07.2022,17000.0,16886.719,ALK,0.974887408167993,2025-01-19
08.07.2022,17100.0,16890.697,ALK,0.974887408167993,2025-01-19
11.07.2022,17100.0,16910.672,ALK,0.974887408167993,2025-01-19
12.07.2022,17000.0,16922.725,ALK,0.974887408167993,2025-01-19
13.07.2022,16800.0,16955.703,ALK,0.974887408167993,2025-01-19
14.07.2022,16850.0,17065.307,ALK,0.974887408167993,2025-01-19
15.07.2022,16820.0,17143.078,ALK,0.974887408167993,2025-01-19
18.07.2022,16850.0,17165.426,ALK,0.974887408167993,2025-01-19
19.07.2022,17100.0,17110.223,ALK,0.974887408167993,2025-01-19
20.07.2022,17001.0,17010.58,ALK,0.974887408167993,2025-01-19
21.07.2022,17031.0,16994.281,ALK,0.974887408167993,2025-01-19
22.07.2022,17100.0,16973.545,ALK,0.974887408167993,2025-01-19
25.07.2022,17001.0,17013.059,ALK,0.974887408167993,2025-01-19
26.07.2022,16930.0,17121.361,ALK,0.974887408167993,2025-01-19
27.07.2022,16900.0,17118.393,ALK,0.974887408167993,2025-01-19
28.07.2022,17000.0,17152.03,ALK,0.974887408167993,2025-01-19
29.07.2022,17200.0,17171.607,ALK,0.974887408167993,2025-01-19
03.08.2022,17050.0,17130.146,ALK,0.974887408167993,2025-01-19
04.08.2022,16900.0,17088.965,ALK,0.974887408167993,2025-01-19
05.08.2022,16996.0,17071.682,ALK,0.974887408167993,2025-01-19
08.08.2022,16850.0,17128.441,ALK,0.974887408167993,2025-01-19
